schedule_date,schedule_season,home_id,away_id,score_home,home_avg_yards,home_avg_TO,score_away,away_avg_yards,away_avg_TO,total_score,over_under_line,label
11/13/1988,1988,KAN,CIN,31,306.76470588235287,2.0,28,388.1764705882353,2.176470588235294,59,40.0,over
11/13/1988,1988,RAM,NOR,10,346.4117647058823,1.9411764705882355,14,321.0,2.0,24,42.0,under
11/13/1988,1988,NYJ,NWE,13,303.35294117647067,1.7647058823529411,14,295.5294117647058,2.4705882352941178,27,41.0,under
11/13/1988,1988,CRD,NYG,24,383.5294117647058,1.7647058823529411,17,322.88235294117646,1.8235294117647056,41,44.0,under
11/13/1988,1988,PIT,PHI,26,305.5294117647058,2.588235294117647,27,351.94117647058823,1.5294117647058822,53,45.0,over
11/13/1988,1988,SFO,RAI,3,382.8823529411765,1.8235294117647056,9,334.11764705882354,1.8235294117647056,12,41.0,under
11/13/1988,1988,SEA,OTI,27,278.11764705882354,2.0588235294117645,24,326.1764705882353,2.235294117647059,51,41.0,over
11/13/1988,1988,WAS,CHI,14,369.5294117647058,2.3529411764705883,34,333.35294117647067,2.588235294117647,48,38.0,over
11/14/1988,1988,MIA,BUF,6,357.4705882352941,2.2941176470588243,31,330.64705882352933,2.117647058823529,37,41.0,under
11/20/1988,1988,BUF,NYJ,9,331.2352941176472,2.176470588235294,6,299.88235294117646,1.7647058823529411,15,37.0,under
11/20/1988,1988,CLE,PIT,27,331.64705882352933,1.9411764705882355,7,303.0,2.7058823529411766,34,39.0,under
11/20/1988,1988,DAL,CIN,24,349.5882352941177,2.4705882352941178,38,385.9411764705882,1.9411764705882355,62,47.0,over
11/20/1988,1988,GNB,DET,9,290.88235294117646,2.764705882352941,19,249.11764705882354,2.0588235294117645,28,36.0,under
11/20/1988,1988,OTI,CRD,38,329.76470588235287,2.176470588235294,20,382.9411764705882,1.7058823529411764,58,44.0,over
11/20/1988,1988,KAN,SEA,27,316.4117647058824,1.9411764705882355,24,286.70588235294116,2.0,51,38.0,over
11/20/1988,1988,RAI,ATL,6,330.64705882352933,1.8823529411764703,12,300.88235294117646,2.9411764705882355,18,39.0,under
