,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
7814,NOR,12172001NOR,December 17,RAM,17.0,310.0,242.0,68.0,2.0,21.0,365.0,309.0,56.0,2.0
7821,CAR,12232001CAR,December 23,RAM,24.0,402.0,305.0,97.0,1.0,21.0,412.0,197.0,215.0,3.0
7843,RAM,12302001RAM,December 30,CLT,27.0,483.0,359.0,124.0,1.0,17.0,261.0,178.0,83.0,1.0
7855,RAM,162002RAM,January 6,ATL,23.0,458.0,266.0,192.0,3.0,13.0,255.0,159.0,96.0,3.0
7867,RAM,1202002RAM,January 20,GNB,13.0,292.0,201.0,91.0,1.0,19.0,383.0,265.0,118.0,8.0
7869,RAM,1272002RAM,January 27,PHI,22.0,371.0,210.0,161.0,0.0,16.0,256.0,146.0,110.0,2.0
7870,RAM,232002RAM,February 3,NWE,26.0,427.0,337.0,90.0,3.0,15.0,267.0,134.0,133.0,0.0
7877,DEN,982002DEN,September 8,RAM,18.0,291.0,187.0,104.0,2.0,15.0,327.0,295.0,32.0,2.0
7901,RAM,9152002RAM,September 15,NYG,18.0,352.0,260.0,92.0,4.0,16.0,394.0,291.0,103.0,1.0
7916,TAM,9232002TAM,September 23,RAM,14.0,252.0,189.0,63.0,1.0,21.0,358.0,269.0,89.0,4.0
7929,RAM,9292002RAM,September 29,DAL,19.0,366.0,273.0,93.0,3.0,17.0,315.0,193.0,122.0,2.0
7942,SFO,1062002SFO,October 6,RAM,21.0,386.0,207.0,179.0,0.0,19.0,313.0,225.0,88.0,2.0
7954,RAM,10132002RAM,October 13,RAI,19.0,322.0,164.0,158.0,1.0,20.0,367.0,302.0,65.0,3.0
7971,RAM,10202002RAM,October 20,SEA,28.0,478.0,260.0,218.0,2.0,13.0,290.0,240.0,50.0,3.0
7987,CRD,1132002CRD,November 3,RAM,13.0,235.0,171.0,64.0,3.0,23.0,415.0,223.0,192.0,2.0
8012,RAM,11102002RAM,November 10,SDG,25.0,524.0,453.0,71.0,4.0,15.0,256.0,130.0,126.0,2.0
8030,RAM,11182002RAM,November 18,CHI,21.0,388.0,327.0,61.0,2.0,16.0,220.0,117.0,103.0,0.0
8045,WAS,11242002WAS,November 24,RAM,21.0,362.0,235.0,127.0,0.0,25.0,364.0,280.0,84.0,2.0
8059,PHI,1212002PHI,December 1,RAM,12.0,265.0,157.0,108.0,4.0,13.0,250.0,174.0,76.0,5.0
8069,KAN,1282002KAN,December 8,RAM,21.0,293.0,113.0,180.0,0.0,16.0,202.0,169.0,33.0,3.0
8093,RAM,12152002RAM,December 15,CRD,20.0,366.0,300.0,66.0,2.0,20.0,378.0,249.0,129.0,2.0
8108,SEA,12222002SEA,December 22,RAM,26.0,392.0,292.0,100.0,1.0,17.0,271.0,254.0,17.0,5.0
8126,RAM,12302002RAM,December 30,SFO,16.0,263.0,228.0,35.0,2.0,19.0,329.0,136.0,193.0,2.0
8148,NYG,972003NYG,September 7,RAM,15.0,336.0,187.0,149.0,3.0,18.0,355.0,315.0,40.0,4.0
8167,RAM,9142003RAM,September 14,SFO,21.0,278.0,190.0,88.0,4.0,20.0,390.0,242.0,148.0,1.0
8180,SEA,9212003SEA,September 21,RAM,20.0,316.0,220.0,96.0,1.0,19.0,308.0,226.0,82.0,3.0
8195,RAM,9282003RAM,September 28,CRD,34.0,401.0,268.0,133.0,1.0,7.0,161.0,125.0,36.0,3.0
8225,RAM,10132003RAM,October 13,ATL,26.0,496.0,377.0,119.0,3.0,9.0,209.0,136.0,73.0,4.0
8238,RAM,10192003RAM,October 19,GNB,22.0,370.0,239.0,131.0,2.0,22.0,372.0,256.0,116.0,4.0
8251,PIT,10262003PIT,October 26,RAM,11.0,245.0,151.0,94.0,4.0,26.0,448.0,359.0,89.0,0.0
8264,SFO,1122003SFO,November 2,RAM,24.0,389.0,224.0,165.0,2.0,18.0,340.0,331.0,9.0,3.0
8278,RAM,1192003RAM,November 9,RAV,7.0,121.0,74.0,47.0,4.0,16.0,267.0,122.0,145.0,7.0
8284,CHI,11162003CHI,November 16,RAM,13.0,241.0,146.0,95.0,2.0,22.0,320.0,208.0,112.0,3.0
8298,CRD,11232003CRD,November 23,RAM,15.0,358.0,192.0,166.0,2.0,26.0,415.0,298.0,117.0,5.0
8327,RAM,11302003RAM,November 30,MIN,21.0,396.0,255.0,141.0,1.0,25.0,465.0,276.0,189.0,3.0
8345,CLE,1282003CLE,December 8,RAM,18.0,309.0,147.0,162.0,4.0,18.0,328.0,210.0,118.0,1.0
8357,RAM,12142003RAM,December 14,SEA,21.0,316.0,230.0,86.0,1.0,22.0,366.0,231.0,135.0,1.0
8376,RAM,12212003RAM,December 21,CIN,23.0,371.0,228.0,143.0,1.0,14.0,286.0,187.0,99.0,3.0
8385,DET,12282003DET,December 28,RAM,21.0,342.0,230.0,112.0,2.0,13.0,194.0,153.0,41.0,3.0
8399,RAM,1102004RAM,January 10,CAR,23.0,380.0,316.0,64.0,3.0,24.0,485.0,269.0,216.0,1.0
8418,RAM,9122004RAM,September 12,CRD,27.0,448.0,272.0,176.0,3.0,14.0,260.0,157.0,103.0,0.0
8422,ATL,9192004ATL,September 19,RAM,22.0,416.0,174.0,242.0,0.0,14.0,280.0,250.0,30.0,2.0
8448,RAM,9262004RAM,September 26,NOR,25.0,403.0,325.0,78.0,1.0,27.0,462.0,316.0,146.0,0.0
8462,SFO,1032004SFO,October 3,RAM,26.0,332.0,274.0,58.0,2.0,24.0,360.0,186.0,174.0,0.0
8476,SEA,10102004SEA,October 10,RAM,20.0,391.0,204.0,187.0,0.0,21.0,441.0,317.0,124.0,3.0
8492,RAM,10182004RAM,October 18,TAM,14.0,324.0,230.0,94.0,2.0,17.0,332.0,277.0,55.0,4.0
8500,MIA,10242004MIA,October 24,RAM,19.0,323.0,206.0,117.0,0.0,20.0,372.0,269.0,103.0,1.0
8532,RAM,1172004RAM,November 7,NWE,21.0,340.0,259.0,81.0,3.0,22.0,376.0,229.0,147.0,1.0
8545,RAM,11142004RAM,November 14,SEA,24.0,462.0,260.0,202.0,2.0,20.0,372.0,172.0,200.0,2.0
8550,BUF,11212004BUF,November 21,RAM,16.0,294.0,175.0,119.0,1.0,19.0,270.0,235.0,35.0,4.0
8580,GNB,11292004GNB,November 29,RAM,22.0,446.0,215.0,231.0,0.0,25.0,452.0,405.0,47.0,3.0
8593,RAM,1252004RAM,December 5,SFO,19.0,350.0,214.0,136.0,2.0,9.0,160.0,97.0,63.0,1.0
8601,CAR,12122004CAR,December 12,RAM,18.0,308.0,189.0,119.0,2.0,11.0,292.0,226.0,66.0,7.0
8616,CRD,12192004CRD,December 19,RAM,26.0,402.0,271.0,131.0,1.0,12.0,185.0,163.0,22.0,2.0
8644,RAM,12272004RAM,December 27,PHI,24.0,419.0,210.0,209.0,1.0,11.0,155.0,74.0,81.0,1.0
8658,RAM,122005RAM,January 2,NYJ,21.0,479.0,432.0,47.0,3.0,22.0,324.0,144.0,180.0,0.0
8662,SEA,182005SEA,January 8,RAM,24.0,413.0,332.0,81.0,1.0,22.0,396.0,294.0,102.0,1.0
8665,ATL,1152005ATL,January 15,RAM,18.0,397.0,70.0,327.0,1.0,19.0,339.0,262.0,77.0,2.0
8685,SFO,9112005SFO,September 11,RAM,12.0,217.0,183.0,34.0,2.0,26.0,405.0,316.0,89.0,1.0
8688,CRD,9182005CRD,September 18,RAM,18.0,379.0,297.0,82.0,2.0,16.0,297.0,189.0,108.0,1.0
8716,RAM,9252005RAM,September 25,OTI,22.0,360.0,259.0,101.0,4.0,18.0,335.0,248.0,87.0,3.0
8726,NYG,1022005NYG,October 2,RAM,24.0,456.0,292.0,164.0,0.0,27.0,476.0,434.0,42.0,5.0
8744,RAM,1092005RAM,October 9,SEA,20.0,386.0,309.0,77.0,2.0,26.0,433.0,299.0,134.0,0.0
8759,CLT,10172005CLT,October 17,RAM,31.0,363.0,187.0,176.0,1.0,20.0,349.0,244.0,105.0,4.0
8771,RAM,10232005RAM,October 23,NOR,16.0,298.0,189.0,109.0,1.0,24.0,332.0,213.0,119.0,2.0
8785,RAM,10302005RAM,October 30,JAX,15.0,386.0,186.0,200.0,3.0,16.0,427.0,206.0,221.0,2.0
8813,SEA,11132005SEA,November 13,RAM,21.0,417.0,243.0,174.0,2.0,22.0,353.0,278.0,75.0,2.0
8828,RAM,11202005RAM,November 20,CRD,19.0,357.0,351.0,6.0,2.0,27.0,372.0,278.0,94.0,1.0
8837,HTX,11272005HTX,November 27,RAM,26.0,412.0,288.0,124.0,2.0,22.0,429.0,291.0,138.0,1.0
8862,RAM,1242005RAM,December 4,WAS,13.0,191.0,142.0,49.0,2.0,19.0,407.0,150.0,257.0,0.0
8872,MIN,12112005MIN,December 11,RAM,16.0,259.0,146.0,113.0,2.0,20.0,337.0,229.0,108.0,6.0
8892,RAM,12182005RAM,December 18,PHI,16.0,305.0,127.0,178.0,1.0,13.0,201.0,76.0,125.0,4.0
8906,RAM,12242005RAM,December 24,SFO,20.0,389.0,345.0,44.0,2.0,15.0,321.0,104.0,217.0,0.0
8916,DAL,112006DAL,January 1,RAM,15.0,271.0,214.0,57.0,4.0,20.0,253.0,147.0,106.0,0.0
8950,RAM,9102006RAM,September 10,DEN,16.0,320.0,195.0,125.0,0.0,17.0,259.0,98.0,161.0,5.0
8968,SFO,9172006SFO,September 17,RAM,14.0,360.0,233.0,127.0,1.0,17.0,265.0,147.0,118.0,1.0
8971,CRD,9242006CRD,September 24,RAM,20.0,347.0,246.0,101.0,4.0,18.0,364.0,301.0,63.0,2.0
8995,RAM,1012006RAM,October 1,DET,23.0,427.0,321.0,106.0,0.0,21.0,370.0,277.0,93.0,3.0
9002,GNB,1082006GNB,October 8,RAM,20.0,336.0,215.0,121.0,2.0,19.0,327.0,209.0,118.0,0.0
9022,RAM,10152006RAM,October 15,SEA,21.0,368.0,309.0,59.0,2.0,20.0,364.0,239.0,125.0,1.0
9050,SDG,10292006SDG,October 29,RAM,21.0,419.0,203.0,216.0,0.0,23.0,412.0,311.0,101.0,1.0
9063,RAM,1152006RAM,November 5,KAN,28.0,452.0,337.0,115.0,3.0,16.0,317.0,131.0,186.0,0.0
9080,SEA,11122006SEA,November 12,RAM,19.0,283.0,123.0,160.0,2.0,18.0,299.0,191.0,108.0,1.0
9085,CAR,11192006CAR,November 19,RAM,20.0,411.0,169.0,242.0,3.0,8.0,111.0,80.0,31.0,2.0
9111,RAM,11262006RAM,November 26,SFO,23.0,349.0,209.0,140.0,1.0,20.0,319.0,148.0,171.0,3.0
9127,RAM,1232006RAM,December 3,CRD,26.0,394.0,287.0,107.0,3.0,24.0,316.0,179.0,137.0,0.0
9146,RAM,12112006RAM,December 11,CHI,28.0,433.0,332.0,101.0,1.0,22.0,372.0,200.0,172.0,0.0
9159,RAI,12172006RAI,December 17,RAM,20.0,260.0,203.0,57.0,5.0,16.0,251.0,103.0,148.0,0.0
9176,RAM,12242006RAM,December 24,WAS,25.0,579.0,382.0,197.0,1.0,22.0,336.0,160.0,176.0,1.0
9188,MIN,12312006MIN,December 31,RAM,17.0,293.0,211.0,82.0,2.0,23.0,416.0,248.0,168.0,0.0
9218,RAM,992007RAM,September 9,CAR,16.0,238.0,162.0,76.0,2.0,21.0,385.0,199.0,186.0,2.0
9234,RAM,9162007RAM,September 16,SFO,20.0,392.0,331.0,61.0,3.0,8.0,186.0,97.0,89.0,2.0
9251,TAM,9232007TAM,September 23,RAM,22.0,322.0,140.0,182.0,1.0,18.0,245.0,109.0,136.0,3.0
9259,DAL,9302007DAL,September 30,RAM,28.0,502.0,331.0,171.0,1.0,12.0,187.0,125.0,62.0,1.0
9278,RAM,1072007RAM,October 7,CRD,24.0,375.0,252.0,123.0,3.0,24.0,383.0,281.0,102.0,2.0
9283,RAV,10142007RAV,October 14,RAM,14.0,248.0,171.0,77.0,2.0,14.0,264.0,197.0,67.0,6.0
9306,SEA,10212007SEA,October 21,RAM,19.0,289.0,189.0,100.0,1.0,15.0,221.0,168.0,53.0,5.0
9318,RAM,10282007RAM,October 28,CLE,24.0,393.0,314.0,79.0,1.0,20.0,368.0,236.0,132.0,0.0
9342,NOR,11112007NOR,November 11,RAM,22.0,299.0,256.0,43.0,2.0,26.0,409.0,276.0,133.0,0.0
9363,SFO,11182007SFO,November 18,RAM,13.0,244.0,212.0,32.0,2.0,15.0,207.0,105.0,102.0,0.0
9379,RAM,11252007RAM,November 25,SEA,17.0,265.0,161.0,104.0,2.0,18.0,302.0,215.0,87.0,2.0
9394,RAM,1222007RAM,December 2,ATL,19.0,409.0,304.0,105.0,2.0,23.0,435.0,324.0,111.0,3.0
9401,CIN,1292007CIN,December 9,RAM,18.0,370.0,178.0,192.0,2.0,10.0,241.0,153.0,88.0,2.0
9427,RAM,12162007RAM,December 16,GNB,21.0,364.0,191.0,173.0,2.0,17.0,277.0,225.0,52.0,3.0
9430,RAM,12202007RAM,December 20,PIT,17.0,316.0,226.0,90.0,2.0,24.0,425.0,259.0,166.0,0.0
9447,CRD,12302007CRD,December 30,RAM,25.0,422.0,300.0,122.0,2.0,13.0,234.0,159.0,75.0,3.0
