game_id,date,team_id,first_downs,total_yds,pass_yds,rush_yds,TO,opp_team_id,opp_first_downs,opp_total_yds,opp_pass_yds,opp_rush_yds,opp_TO
10242010CAR,October 24,CAR,22.0,379.0,303.0,76.0,3.0,SFO,15.0,282.0,183.0,99.0,1.0
10312010RAM,October 31,CAR,14.0,201.0,176.0,25.0,4.0,RAM,15.0,246.0,184.0,62.0,0.0
1172010CAR,November 7,CAR,15.0,195.0,68.0,127.0,2.0,NOR,27.0,408.0,243.0,165.0,1.0
11142010TAM,November 14,CAR,18.0,300.0,182.0,118.0,1.0,TAM,21.0,421.0,235.0,186.0,2.0
11212010CAR,November 21,CAR,9.0,270.0,150.0,120.0,2.0,RAV,22.0,378.0,278.0,100.0,2.0
11282010CLE,November 28,CAR,16.0,326.0,175.0,151.0,1.0,CLE,26.0,379.0,227.0,152.0,3.0
1252010SEA,December 5,CAR,18.0,283.0,152.0,131.0,1.0,SEA,25.0,371.0,210.0,161.0,2.0
12122010CAR,December 12,CAR,13.0,288.0,76.0,212.0,2.0,ATL,24.0,327.0,200.0,127.0,1.0
12192010CAR,December 19,CAR,16.0,303.0,126.0,177.0,1.0,CRD,11.0,218.0,175.0,43.0,2.0
12232010PIT,December 23,CAR,7.0,119.0,45.0,74.0,2.0,PIT,22.0,408.0,293.0,115.0,2.0
122011ATL,January 2,CAR,12.0,291.0,154.0,137.0,2.0,ATL,24.0,352.0,253.0,99.0,1.0
9112011CRD,September 11,CAR,26.0,477.0,403.0,74.0,1.0,CRD,15.0,394.0,295.0,99.0,1.0
9182011CAR,September 18,CAR,26.0,475.0,404.0,71.0,4.0,GNB,16.0,419.0,295.0,124.0,1.0
9252011CAR,September 25,CAR,16.0,265.0,158.0,107.0,0.0,JAX,13.0,257.0,129.0,128.0,1.0
1022011CHI,October 2,CAR,24.0,543.0,374.0,169.0,1.0,CHI,15.0,317.0,93.0,224.0,1.0
1092011CAR,October 9,CAR,20.0,381.0,219.0,162.0,1.0,NOR,27.0,444.0,343.0,101.0,1.0
10162011ATL,October 16,CAR,24.0,368.0,229.0,139.0,3.0,ATL,24.0,325.0,159.0,166.0,0.0
10232011CAR,October 23,CAR,20.0,407.0,232.0,175.0,0.0,WAS,22.0,353.0,261.0,92.0,3.0
10302011CAR,October 30,CAR,21.0,405.0,265.0,140.0,2.0,MIN,22.0,361.0,229.0,132.0,1.0
11132011CAR,November 13,CAR,16.0,279.0,166.0,113.0,2.0,OTI,22.0,383.0,211.0,172.0,1.0
11202011DET,November 20,CAR,24.0,409.0,272.0,137.0,4.0,DET,29.0,495.0,326.0,169.0,3.0
11272011CLT,November 27,CAR,22.0,377.0,176.0,201.0,1.0,CLT,17.0,323.0,218.0,105.0,2.0
