schedule_date,schedule_season,home_id,away_id,score_home,score_away,total_score,over_under_line,label
10/12/1980,1980,PIT,CIN,16,17,33,40,under
10/12/1980,1980,SEA,CLE,3,27,30,40,under
10/12/1980,1980,CRD,RAM,13,21,34,49,under
10/12/1980,1980,TAM,GNB,14,14,28,36,under
10/13/1980,1980,DEN,WAS,20,17,37,35,over
10/19/1980,1980,CLT,NWE,21,37,58,43,over
10/19/1980,1980,CHI,DET,24,7,31,40,under
10/19/1980,1980,CIN,MIN,14,0,14,36,under
10/19/1980,1980,CLE,GNB,26,21,47,37,over
10/19/1980,1980,DEN,KAN,17,23,40,40,under
10/19/1980,1980,OTI,TAM,20,14,34,34,under
10/19/1980,1980,MIA,BUF,17,14,31,35,under
10/19/1980,1980,NOR,ATL,14,41,55,44,over
10/19/1980,1980,NYJ,SEA,17,27,44,38,over
10/19/1980,1980,PHI,DAL,17,10,27,41,under
10/19/1980,1980,SDG,NYG,44,7,51,47,over
10/19/1980,1980,SFO,RAM,17,31,48,50,under
10/19/1980,1980,WAS,CRD,23,0,23,39,under
10/20/1980,1980,PIT,RAI,34,45,79,45,over
10/26/1980,1980,ATL,RAM,13,10,23,43,under
10/26/1980,1980,CLT,CRD,10,17,27,41,under
10/26/1980,1980,BUF,NWE,31,13,44,42,over
10/26/1980,1980,CLE,PIT,27,26,53,44,over
10/26/1980,1980,DAL,SDG,42,31,73,45,over
10/26/1980,1980,GNB,MIN,16,3,19,36,under
10/26/1980,1980,OTI,CIN,23,3,26,35,under
10/26/1980,1980,KAN,DET,20,17,37,40,under
10/26/1980,1980,NYG,DEN,9,14,23,40,under
10/26/1980,1980,RAI,SEA,33,14,47,44,over
10/26/1980,1980,PHI,CHI,17,14,31,34,under
10/26/1980,1980,SFO,TAM,23,24,47,45,over
10/26/1980,1980,WAS,NOR,22,14,36,38,under
10/27/1980,1980,NYJ,MIA,17,14,31,37,under
11/2/1980,1980,BUF,ATL,14,30,44,41,over
11/2/1980,1980,CIN,SDG,14,31,45,43,over
11/2/1980,1980,DEN,OTI,16,20,36,37,under
11/2/1980,1980,DET,SFO,17,13,30,42,under
11/2/1980,1980,KAN,CLT,24,31,55,39,over
