schedule_date,schedule_season,home_id,away_id,weather_temperature,weather_wind_mph,score_home,score_away,total_score,over_under_line,label
11/19/1979,1979,RAM,ATL,59.0,16.0,20,14,34,35,under
11/22/1979,1979,DAL,OTI,46.0,16.0,24,30,54,41,over
11/22/1979,1979,DET,CHI,72.0,0.0,20,0,20,36,under
11/25/1979,1979,ATL,NOR,64.0,16.0,6,37,43,43,under
11/25/1979,1979,CLT,MIA,63.0,8.0,24,28,52,37,over
11/25/1979,1979,CIN,CRD,42.0,11.0,34,28,62,42,over
11/25/1979,1979,DEN,RAI,35.0,13.0,10,14,24,37,under
11/25/1979,1979,GNB,PHI,35.0,6.0,10,21,31,36,under
11/25/1979,1979,NWE,BUF,62.0,11.0,13,16,29,41,under
11/25/1979,1979,NYG,WAS,61.0,10.0,14,6,20,36,under
11/25/1979,1979,PIT,CLE,49.0,6.0,33,30,63,42,over
11/25/1979,1979,SDG,KAN,60.0,5.0,28,7,35,38,under
11/25/1979,1979,SFO,RAM,55.0,10.0,20,26,46,39,over
11/25/1979,1979,TAM,MIN,75.0,12.0,22,23,45,36,over
11/26/1979,1979,SEA,NYJ,72.0,0.0,30,7,37,45,under
11/29/1979,1979,MIA,NWE,73.0,11.0,39,24,63,38,over
12/2/1979,1979,BUF,DEN,25.0,14.0,16,19,35,36,under
12/2/1979,1979,CLE,OTI,28.0,15.0,14,7,21,44,under
12/2/1979,1979,DAL,NYG,41.0,7.0,28,7,35,38,under
12/2/1979,1979,KAN,SEA,21.0,10.0,37,21,58,41,over
12/2/1979,1979,RAM,MIN,64.0,9.0,27,21,48,38,over
12/2/1979,1979,NYJ,CLT,36.0,13.0,30,17,47,38,over
12/2/1979,1979,PHI,DET,34.0,12.0,44,7,51,37,over
12/2/1979,1979,PIT,CIN,28.0,12.0,37,17,54,44,over
12/2/1979,1979,SDG,ATL,64.0,6.0,26,28,54,42,over
12/2/1979,1979,CRD,SFO,23.0,9.0,13,10,23,43,under
12/2/1979,1979,TAM,CHI,53.0,9.0,0,14,14,36,under
12/2/1979,1979,WAS,GNB,39.0,15.0,38,21,59,34,over
12/3/1979,1979,NOR,RAI,72.0,0.0,35,42,77,43,over
12/8/1979,1979,PHI,DAL,44.0,21.0,17,24,41,40,over
12/8/1979,1979,SEA,DEN,72.0,0.0,28,23,51,39,over
12/9/1979,1979,ATL,RAM,42.0,11.0,13,34,47,39,over
12/9/1979,1979,CLT,KAN,35.0,11.0,7,10,17,36,under
12/9/1979,1979,DET,MIA,72.0,0.0,10,28,38,36,over
12/9/1979,1979,GNB,CHI,29.0,17.0,14,15,29,36,under
12/9/1979,1979,MIN,BUF,32.0,12.0,10,3,13,36,under
12/9/1979,1979,NOR,SDG,72.0,0.0,0,35,35,45,under
12/9/1979,1979,NYJ,NWE,32.0,14.0,27,26,53,44,over
12/9/1979,1979,RAI,CLE,54.0,6.0,19,14,33,44.5,under
12/9/1979,1979,SFO,TAM,52.0,6.0,23,7,30,38,under
12/9/1979,1979,CRD,NYG,39.0,11.0,29,20,49,36,over
12/9/1979,1979,WAS,CIN,39.0,10.0,28,14,42,42,under
12/10/1979,1979,OTI,PIT,72.0,0.0,20,17,37,42.5,under
12/15/1979,1979,DET,GNB,72.0,0.0,13,18,31,34,under
12/15/1979,1979,MIA,NYJ,75.0,7.0,24,27,51,45,over
12/16/1979,1979,ATL,SFO,46.0,11.0,31,21,52,45,over
12/16/1979,1979,CHI,CRD,29.0,19.0,42,6,48,37,over
12/16/1979,1979,CIN,CLE,34.0,16.0,16,12,28,41,under
12/16/1979,1979,DAL,WAS,40.0,12.0,35,34,69,39.5,over
12/16/1979,1979,OTI,PHI,72.0,0.0,20,26,46,39,over
12/16/1979,1979,RAM,NOR,57.0,7.0,14,29,43,42,over
12/16/1979,1979,NWE,MIN,40.0,14.0,27,23,50,40,over
12/16/1979,1979,NYG,CLT,39.0,7.0,7,31,38,37,over
12/16/1979,1979,RAI,SEA,50.0,7.0,24,29,53,45,over
12/16/1979,1979,PIT,BUF,38.0,13.0,28,0,28,39,under
12/16/1979,1979,TAM,KAN,67.0,8.0,3,0,3,33,under
12/17/1979,1979,SDG,DEN,61.0,7.0,17,7,24,38,under
1/20/1980,1979,RAM,PIT,67.0,30.0,19,31,50,36,over
9/7/1980,1980,BUF,MIA,64.0,8.0,17,7,24,35,under
9/7/1980,1980,CIN,TAM,72.0,9.0,12,17,29,34,under
9/7/1980,1980,GNB,CHI,65.0,5.0,12,6,18,35,under
9/7/1980,1980,KAN,RAI,82.0,10.0,14,27,41,42,under
9/7/1980,1980,RAM,DET,66.0,11.0,20,41,61,38,over
9/7/1980,1980,MIN,ATL,73.0,8.0,24,23,47,42,over
9/7/1980,1980,NWE,CLE,73.0,12.0,34,17,51,38,over
9/7/1980,1980,NOR,SFO,72.0,0.0,23,26,49,45,over
9/7/1980,1980,NYJ,CLT,75.0,12.0,14,17,31,41,under
9/7/1980,1980,PHI,DEN,76.0,11.0,27,6,33,38,under
9/7/1980,1980,PIT,OTI,70.0,8.0,31,17,48,40,over
9/7/1980,1980,SEA,SDG,72.0,0.0,13,34,47,45,over
9/7/1980,1980,CRD,NYG,80.0,14.0,35,41,76,42,over
9/8/1980,1980,WAS,DAL,78.0,9.0,3,17,20,45,under
9/11/1980,1980,TAM,RAM,76.0,7.0,10,9,19,40,under
9/14/1980,1980,CLT,PIT,77.0,7.0,17,20,37,40,under
9/14/1980,1980,BUF,NYJ,68.0,13.0,20,10,30,34,under
9/14/1980,1980,CHI,NOR,67.0,10.0,22,3,25,37,under
9/14/1980,1980,DEN,DAL,67.0,8.0,41,20,61,40,over
9/14/1980,1980,GNB,DET,64.0,14.0,7,29,36,38,under
9/14/1980,1980,KAN,SEA,68.0,9.0,16,17,33,38,under
9/14/1980,1980,MIA,CIN,77.0,8.0,17,16,33,35,under
9/14/1980,1980,MIN,PHI,57.0,12.0,7,42,49,40,over
9/14/1980,1980,NWE,ATL,69.0,13.0,21,37,58,49,over
